,author,updated_at,like_count,text,public
71,@KimDokyok-t8c,2025-03-25T17:37:47Z,0,Ga geter bre video,True
72,@arisgoris914,2025-03-25T09:47:03Z,0,Ini hp di oprek customrom sampe android 20 pun masih mantep,True
73,@FaoziGilang-e3k3k,2025-03-25T05:31:39Z,0,Pake 2 sim ga bisa pake memori card?,True
74,@ehartperdana262,2025-03-25T02:38:04Z,0,Nunggu moto g 85 bang,True
75,@om_PHONK,2025-03-25T02:36:53Z,0,nokia benar2 kalah,True
76,@adirisbaya,2025-03-24T21:16:56Z,0,25 maret 2025 di tokopedia sekarang harga di officialnya 2.109.000,True
77,@hendriklabeneamata5696,2025-03-24T17:31:27Z,0,Recomended ni hp,True
78,@alimurtado9451,2025-03-24T15:06:40Z,0,Mantul nih ❤,True
79,@mohacherr,2025-03-24T14:12:09Z,1,*_HEADPHONE JACK ♾️_*,True
80,@Kazesann,2025-03-24T11:40:42Z,2,Buat yang ngomong HD+ burik mending lu ke RSUD bawa BPJS periksa matamu. Karena HD+ sekarang gak kek dulu beda banget perbandingannya. Sekarang hampir gak ketara sama FHD+,True
81,@aradhosatu,2025-03-24T01:26:27Z,1,"Ada fitur dual aplikasinya gk om david?
seperti utk 2 wa, ig dll",True
82,@anamsyafiul4282,2025-03-23T16:56:23Z,1,"Langsung CO karena material, OS, dan pastinya jack audio masih ada🤏🏻",True
83,@madammukti6572,2025-03-23T13:35:02Z,0,Kalo servis gmnaa?,True
84,@CraftMod707,2025-03-23T12:13:02Z,0,Belum kena mental si motorola😅,True
85,@Pajar_Frsyh,2025-03-23T12:06:19Z,0,buatt jangka panjang cocok ngga sii??,True
86,@pawfong,2025-03-23T09:57:33Z,1,"Gw dah pake , menurut gw ini jelek sih.. fitur nya sering eror2, kamera bener2 ga enak.. casan item taunya plastik murah tau sendiri lah sensasi pegang nya jg 😂😂",True
87,@iwan060480,2025-03-23T04:51:42Z,0,ss 3 jarinya ditekan layar klo ga salah bukan di slide ke bawah,True
88,@pamansaturnus449,2025-03-23T04:46:04Z,0,"Pertama kali lihat di market place langsung tertarik meski belum lihat speknya, nonton ini buat memastikan, ternyata feeling ku gk salah 😅, jadi pengen beli tp hp yg aku punya ini masih termasuk baru, tahan dulu deh sayang dompet 😅",True
89,@ASEPASIAPASEP,2025-03-22T23:35:36Z,1,"Motorola, is back",True
90,@jazzz2321,2025-03-22T10:40:07Z,2,buat gaming cocok ga bang gadgetin?,True
91,@cocolandhandmade7471,2025-03-21T22:58:45Z,0,Lu review fiture laptopnya bang😅,True
92,@mirzaagungnuryawan1369,2025-03-21T18:53:19Z,0,Gokilll.. moto is back.. no gimmick cuman 720p 😍,True
93,@malaikatsubuh430,2025-03-21T17:10:19Z,0,Tinggal Nunggu Siemens dan Sony Erickson Come Back !!,True
94,@acongramdan7175,2025-03-21T16:10:53Z,1,"Hp 2,5 JT : Helio100 ❎
Hp 2,5 JT: SD 6 gen 3 ✅",True
95,@wuswusjos,2025-03-21T14:51:09Z,0,Layar 720p itu kira² pecah² gak ya,True
96,@erickkumotu939,2025-03-21T10:11:03Z,0,Tim 480p😭,True
97,@elangbhadrika_motor,2025-03-21T06:44:13Z,0,Ada fitur video slowmo gk bang di kameranya,True
98,@AidanKennia-i6e1o,2025-03-21T05:39:29Z,0,sudah beli kena diskon jadi 2150,True
99,@theapams2569,2025-03-20T23:27:26Z,0,Mending ini atau tecno camon 40,True
100,@jeremykornelius2838,2025-03-20T11:03:26Z,2,"KASUS gw, belik G45 5G cek imei di dus dan hp aktif, ketika dicek di info imei malah yang terdaftar MOTOROLA G34 5G malah beda. apakah ada yang punya kasus sama ???",True
101,@aguswijaya377,2025-03-20T08:25:19Z,0,Awal yg bagus setelah 10 tahun menghilang di pasar indonesia 👍,True
102,@ukkasyahoxygenz3658,2025-03-20T05:30:31Z,0,eh eh mending beli ini apa samsung a series?,True
103,@handsomemonkey9282,2025-03-20T02:12:50Z,0,"Ini baru Handphone keren, ada micro SD & jack 3,5mm, soalnya sebagian orang tetap membutuhkan memori tambahan dan lebih menyukai headset kabel ketimbang yg bluetooth.",True
104,@ahzan3972,2025-03-20T01:22:57Z,0,Sama pova 6 bagus mana bng?,True
105,@asta_mar,2025-03-19T21:26:22Z,4,Gw yakin pt sat nursapersada kena palak pemerintah & ormas² di sekitar nya.,True
106,@sidekick1899,2025-03-19T15:58:35Z,0,Joss,True
107,@gioongko6060,2025-03-19T15:48:07Z,0,Cintaku kembali Motorola ❤,True
108,@mata4r43un,2025-03-19T14:07:49Z,5,"Motorola Moto G seri bawah ini emang seringnya nanggung dan adaaa aja yang kurang.

Tapi vanilla Android-nya itu enak, ga banyak bloatware yg berat2in OS dan menuh2in storage. 

Sama pengalaman pake Motorola G5S, hape Motorola awet gila. Dari 2017 ampe sekarang tu hape masih hidup aja 😂 en dah nyelamatin saia beberapa kali sebagai hape backup pas Sumsang A51 saia bolak-balik bermasalah 😂

Moga2 bisa bertahan dan bersaing dengan merk2 lain yang berani ngasih spek gila2an di harga yg sama.",True
