,author,updated_at,like_count,text,public
91,@nanyamulu55,2025-03-12T18:16:07Z,0,Gw tadinya user Mac  tapi setelah melihat Axio  gw coba beralih ke PT. Tera Data Indonusa Tbk [AXIO] bukan apa2 gw pengen duit gw bisa sampai ke  orang indonesia sendiri setidaknya ga full kebuang ke luar negeri  AXIO dan Advan mneyerap banyak tenaga kerja Lokal di pabriknya .,True
92,@hasbiahhasbiah2965,2025-03-12T01:48:23Z,0,Bang review yg axio seri hype 7 yg ram 16 harga nya gila gilaan mamen,True
93,@langzexecute,2025-03-11T21:17:20Z,0,advan workplus x darbotz atau axioo ya?,True
94,@mugenmugen9937,2025-03-11T15:15:39Z,0,Ram nya gedean pilih aja yg 16gb dengan SSD dengan 512gb enak bgt itu ram 24 terlalu over untuk sekedar laptop kantoran kaya nya lebih oke ke SSD deh,True
95,@movlixceritafilm,2025-03-11T13:39:51Z,1,kelemahan axioo ada pada   keyboard..kebanyakan laptop matot penyebab utamanya dari tombol power yang menyatu dengan keyboard...,True
96,@khairilhafiz744,2025-03-11T12:38:36Z,1,Cair uang KIPK nanti beli axio ini dehh,True
97,@skuyaee,2025-03-11T12:38:20Z,2,bang review advan pixwar x transformer yg baru,True
98,@vickyblastz5135,2025-03-10T23:55:19Z,0,bang bahas acer nitro v15 rtx 2050 bang,True
99,@vickyblastz5135,2025-03-10T23:55:02Z,0,bang bahas acer nitro v15 bang,True
100,@gunturputrapratama-se8hr,2025-03-10T21:25:54Z,0,leptop buat kuliah teknik bagus ga atau ada yang lebih bagus di bawah 10jt,True
101,@muhammadfierzanugraha5137,2025-03-10T19:33:05Z,0,"Info laptop budget 5-8jt an ini udah cukup ga ya?
Kebutuhan Kuliah jurusan Teknik, game paling tipis tipis",True
102,@nuhdigt1054,2025-03-10T09:23:55Z,1,"Terima kasih bang,saya lagi laptop buat nge game",True
103,@satriomukti3470,2025-03-10T04:04:50Z,0,Ayos guys kita dukung David,True
104,@kenangakreasindo6719,2025-03-09T13:35:07Z,0,aw,True
105,@kenangakreasindo6719,2025-03-09T13:32:24Z,0,murah banget,True
106,@abduljhawary4326,2025-03-09T10:14:46Z,0,"Maaf, itu yg produk nasional (Semarang)..??",True
107,@IhsanFadhielah,2025-03-09T06:38:06Z,0,Kalau buat edit video gimana ya?,True
108,@maikaajirifajaya2142,2025-03-08T15:39:07Z,0,Bng review laptop axio hype 7x8,True
109,@a.fernaldi9641,2025-03-08T06:47:30Z,1,"pengen laptop cuma mau nyelesain skripsi, 🙏🏽🙏🏽😭😭",True
110,@muhammadirsyaad-tx9uw,2025-03-08T05:51:21Z,0,Core i3 gen 12 kira² tahan berapa tahun ya?🤔,True
